PLAYER_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT_INCHES,WEIGHT_LBS,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT
Reggie Jackson,PHI,PG,74,208,4.4,1.4,1.5,0.5,0.1,0.391,0.338,0.778
Reed Sheppard,HOU,PG,74,185,4.4,1.5,1.4,0.7,0.3,0.351,0.338,0.813
Lamar Stevens,MEM,PF,79,230,4.4,2.2,0.5,0.3,0.2,0.46,0.296,0.727
Mo Bamba,2TM,C,84,231,4.3,4.5,0.6,0.3,1.0,0.464,0.278,0.704
Jevon Carter,CHI,PG,72,190,4.3,1.1,1.1,0.4,0.1,0.377,0.333,0.8
Micah Potter,UTA,C,81,248,4.3,4.3,0.8,0.4,0.4,0.422,0.316,0.85
Terrence Shannon Jr.,MIN,SG,78,215,4.3,1.5,1.0,0.2,0.2,0.482,0.355,0.81
Daniel Theis,NOP,C,80,245,4.3,4.3,1.6,0.5,0.5,0.473,0.243,0.838
Torrey Craig,2TM,SF,77,221,4.2,2.8,0.7,0.3,0.5,0.422,0.364,0.667
Wendell Moore Jr.,2TM,SG,77,215,4.2,2.6,1.2,0.6,0.1,0.468,0.341,0.818
Dominick Barlow,ATL,PF,81,215,4.2,2.4,0.5,0.3,0.5,0.531,0.259,0.636
Kessler Edwards,DAL,SF,79,203,4.2,2.9,1.1,0.5,0.5,0.496,0.407,0.923
Oso Ighodaro,PHO,PF,83,235,4.2,3.6,1.2,0.5,0.5,0.604,0.0,0.58
Kris Murray,POR,SF,80,218,4.2,2.6,1.0,0.5,0.2,0.419,0.225,0.456
Duop Reath,POR,C,81,245,4.2,2.0,0.6,0.3,0.3,0.422,0.321,0.909
Cam Spencer,MEM,SG,75,205,4.2,1.2,1.4,0.4,0.0,0.415,0.365,1.0
Maxwell Lewis,2TM,SF,79,215,4.1,2.0,0.7,0.3,0.3,0.417,0.38,0.7
Jaylen Clark,MIN,SG,77,205,4.1,1.3,0.7,0.9,0.1,0.467,0.431,0.784
Caleb Houstan,ORL,SF,80,205,4.1,1.3,0.6,0.4,0.1,0.421,0.4,0.882
Jordan Miller,LAC,SF,77,194,4.1,1.6,0.9,0.5,0.1,0.433,0.211,0.8
Jalen Pickett,DEN,SG,74,202,4.1,1.4,2.2,0.4,0.1,0.428,0.396,0.75
Paul Reed,DET,C,81,210,4.1,2.7,1.0,0.9,0.6,0.507,0.286,0.762
Gui Santos,GSW,PF,79,185,4.1,3.1,1.4,0.4,0.2,0.458,0.33,0.69
Jarred Vanderbilt,LAL,PF,80,214,4.1,5.1,1.1,1.0,0.3,0.488,0.281,0.556
Colby Jones,2TM,SG,78,207,4.0,2.2,1.1,0.7,0.3,0.457,0.327,0.657
Nicolas Batum,LAC,PF,79,230,4.0,2.8,1.1,0.7,0.5,0.437,0.433,0.81
Malachi Flynn,CHO,PG,73,185,4.0,1.8,1.8,0.8,0.0,0.385,0.25,0.833
Ron Harper Jr.,DET,SF,77,233,4.0,7.0,2.0,0.0,0.0,0.125,0.0,1.0
Josh Richardson,MIA,SG,77,200,4.0,1.5,1.5,1.0,0.1,0.289,0.273,1.0
Steven Adams,HOU,C,83,265,3.9,5.6,1.1,0.4,0.5,0.545,0.0,0.462
Kyle Lowry,PHI,PG,72,196,3.9,1.9,2.7,0.9,0.3,0.35,0.33,0.818
Olivier-Maxence Prosper,DAL,PF,79,230,3.9,2.4,0.8,0.5,0.1,0.402,0.235,0.645
Patty Mills,2TM,PG,74,180,3.8,0.8,0.9,0.4,0.1,0.375,0.347,0.929
Branden Carlson,OKC,C,84,220,3.8,1.7,0.4,0.2,0.7,0.443,0.333,0.778
Devin Carter,SAC,PG,74,195,3.8,2.1,1.1,0.6,0.1,0.37,0.295,0.591
Ousmane Dieng,OKC,C,81,185,3.8,2.2,0.8,0.5,0.2,0.432,0.324,0.688
Markieff Morris,2TM,PF,81,245,3.7,1.5,1.4,0.1,0.2,0.3,0.25,0.833
Emoni Bates,CLE,SF,80,202,3.7,0.7,0.8,0.1,0.1,0.342,0.367,0.0
DeAndre Jordan,DEN,C,83,265,3.7,5.1,0.9,0.3,0.5,0.65,0.0,0.422
Craig Porter Jr.,CLE,PG,73,180,3.7,1.3,1.4,0.3,0.3,0.514,0.438,0.719
Jackson Rowe,GSW,PF,79,210,3.7,1.8,0.7,0.7,0.0,0.471,0.3,0.5
